Problem ID,Problem Name,Title Tags,Plain Tags,Number Solved,Complexity,Class,NumberSolvedNormalized
731C,Socks,Disjoint set union|Graphs|Greedy algorithms,dsu|graphs|greedy,2467,0.705,Medium,0.0586180678
731B,Coupons and Discounts,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,4297,0.433,Medium,0.102100461
731A,Night at the Museum,Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,implementation|strings,5689,0.331,Easy,0.1351755928
730L,Expression Queries,,,25,0.938,Hard,0.0005940218
730K,Roads Orientation Problem,,,23,0.938,Hard,0.0005465
730J,Bottles,Dynamic programming,dp,860,0.706,Medium,0.0204343487
730I,Olympiad in Programming and Sports,Dynamic programming|Graph network flows|Greedy algorithms,dp|flows|greedy,507,0.877,Hard,0.0120467614
730H,Delete Them,Implementation problems programming technics simulation,implementation,1548,0,Easy,0.0367818277
730G,Car Repair Shop,Implementation problems programming technics simulation,implementation,1195,0,Easy,0.0283942404
730F,Ber Patio,,,17,0.938,Hard,0.0004039348
730E,Award Ceremony,Greedy algorithms,greedy,374,0.353,Easy,0.0088865656
730D,Running Over The Bridges,Greedy algorithms|Implementation problems programming technics simulation,greedy|implementation,323,0.353,Easy,0.0076747612
730C,Bulmart,Binary search|Dfs and similar,binary search|dfs and similar,530,0.645,Medium,0.0125932614
730B,Minimum and Maximum,Constructive algorithms,constructive algorithms,1053,0.433,Medium,0.0250201967
730A,Toda 2,Greedy algorithms,greedy,806,0.353,Easy,0.0191512617
727F,Polycarp's problems,Binary search|Dynamic programming|Greedy algorithms,binary search|dp|greedy,197,0.706,Medium,0.0046808915
727E,Games on a CD,Heaps binary search trees segment trees hash tables etc|Hashing hashtables|Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|hashing|string suffix structures|strings,193,0.825,Hard,0.004585848
727D,T-shirts Distribution,Constructive algorithms|Graph network flows|Greedy algorithms,constructive algorithms|flows|greedy,713,0.877,Hard,0.0169415007
727C,Guess the Array,Constructive algorithms|Mathematics including integration differential equations etc,constructive algorithms|math,1485,0.433,Medium,0.0352848928
727B,Bill Total Value,Parsing expression grammar|Implementation problems programming technics simulation,expression parsing|implementation,1098,0.713,Medium,0.0260894359
727A,Transformation: from A to B,Brute force|Dfs and similar,brute force|dfs and similar,2663,0.645,Medium,0.0632751984
725G,Messages on a Tree,,,14,0.938,Hard,0.0003326522
725F,Family Photos,Greedy algorithms,greedy,117,0.353,Easy,0.0027800219
725E,Too Much Money,Brute force,brute force,306,0.298,Easy,0.0072708264
725D,Contest Balloons,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,1468,0.739,Hard,0.034880958
725C,Hidden Word,Brute force|Constructive algorithms|Implementation problems programming technics simulation,brute force|constructive algorithms|implementation,1832,0.433,Medium,0.0435299149
725B,Food on the Plane,Mathematics including integration differential equations etc,math,3432,0.366,Easy,0.0815473079
725A,Jumping Ball,Implementation problems programming technics simulation,implementation,4040,0,Easy,0.0959939172
724G,Xor-matic Number of the Graph,Bitmasks|Graphs|Mathematics including integration differential equations etc|Trees,bitmasks|graphs|math|trees,212,0.756,Hard,0.0050373046
724F,Uniformly Branched Trees,Combinatorics,combinatorics,72,0.687,Medium,0.0017107827
724E,Goods transportation,Dynamic programming|Graph network flows,dp|flows,315,0.877,Hard,0.0074846742
724D,Dense Subsequence,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,1445,0.739,Hard,0.034334458
724C,Ray Tracing,Greedy algorithms|Hashing hashtables|Implementation problems programming technics simulation|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,greedy|hashing|implementation|math|number theory,1404,0.714,Medium,0.0333602623
724B,Batch Sort,Brute force|Greedy algorithms|Implementation problems programming technics simulation,brute force|greedy|implementation,2742,0.353,Easy,0.0651523072
724A,Checking the Calendar,Implementation problems programming technics simulation,implementation,4475,0,Easy,0.1063298959
723F,st-Spanning Tree,Disjoint set union|Graphs|Greedy algorithms|Implementation problems programming technics simulation,dsu|graphs|greedy|implementation,680,0.705,Medium,0.016157392
723E,One-Way Reform,Constructive algorithms|Dfs and similar|Graph network flows|Graphs|Greedy algorithms,constructive algorithms|dfs and similar|flows|graphs|greedy,678,0.877,Hard,0.0161098703
723D,Lakes in Berland,Dfs and similar|Disjoint set union|Greedy algorithms,dfs and similar|dsu|greedy,2834,0.686,Medium,0.0673383073
723C,Polycarp at the Radio,Greedy algorithms,greedy,2940,0.353,Easy,0.0698569596
723B,Text Document Analysis,Parsing expression grammar|Implementation problems programming technics simulation,expression parsing|implementation,5606,0.713,Medium,0.1332034406
723A,The New Year: Meeting Friends,Sortings orderings,sortings,7933,0.275,Easy,0.1884949865
722F,Cyclic Cipher,Сhinese remainder theorem|Implementation problems programming technics simulation|Number theory: Euler function GCD divisibility etc|Two pointers,chinese remainder theorem|implementation|number theory|two pointers,174,0.663,Medium,0.0041343915
722E,Research Rover,Combinatorics|Dynamic programming,combinatorics|dp,157,0.706,Medium,0.0037304567
722D,Generating Sets,Binary search|Heaps binary search trees segment trees hash tables etc|Dfs and similar|Greedy algorithms,binary search|data structures|dfs and similar|greedy,1805,0.739,Hard,0.0428883714
722C,Destroying Array,Heaps binary search trees segment trees hash tables etc|Disjoint set union,data structures|dsu,2800,0.739,Hard,0.0665304377
722B,Verse Pattern,Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,implementation|strings,4197,0.331,Easy,0.0997243739
722A,Broken Clock,Brute force|Implementation problems programming technics simulation,brute force|implementation,4285,0.298,Easy,0.1018153305
721E,Road to Home,Binary search|Dynamic programming,binary search|dp,127,0.706,Medium,0.0030176306
721D,Maxim and Array,Constructive algorithms|Heaps binary search trees segment trees hash tables etc|Greedy algorithms,constructive algorithms|data structures|greedy,1243,0.739,Hard,0.0295347622
721C,Journey,Dynamic programming|Graphs,dp|graphs,2019,0.706,Medium,0.0479731977
721B,Passwords,Sortings orderings|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,sortings|strings,5592,0.331,Easy,0.1328707884
721A,One-dimensional Japanese Crossword,Implementation problems programming technics simulation,implementation,7292,0,Easy,0.1732642684
720F,Array Covering,,,11,0.938,Hard,0.0002613696
720E,Cipher,,,11,0.938,Hard,0.0002613696
720D,Slalom,Heaps binary search trees segment trees hash tables etc|Dynamic programming,data structures|dp,18,0.739,Hard,0.0004276957
720C,Homework,,,16,0.938,Hard,0.0003801739
720B,Cactusophobia,Dfs and similar|Graph network flows,dfs and similar|flows,112,0.877,Hard,0.0026612175
720A,Closing ceremony,Greedy algorithms,greedy,233,0.353,Easy,0.0055362828
719B,Anatoly and Cockroaches,Greedy algorithms,greedy,4519,0.353,Easy,0.1073753742
719A,Vitya in the Countryside,Implementation problems programming technics simulation,implementation,6897,0,Easy,0.1638787245
718E,Matvey's Birthday,Graphs,graphs,20,0.705,Medium,0.0004752174
718D,Andrew and Chemistry,Hashing hashtables|Trees,hashing|trees,85,0.756,Hard,0.002019674
718C,Sasha and Array,Heaps binary search trees segment trees hash tables etc|Mathematics including integration differential equations etc|Matrix multiplication determinant Cramer's rule systems of linear equations,data structures|math|matrices,913,0.861,Hard,0.0216936749
718A,Efim and Strange Grade,Implementation problems programming technics simulation,implementation,2748,0,Easy,0.0652948724
717I,Cowboy Beblop at his computer,,,17,0.938,Hard,0.0004039348
717H,Pokermon League challenge,Probabilities expected values statistics random variables etc,probabilities,240,0.802,Hard,0.0057026089
717G,Underfail,Graph network flows,flows,256,0.877,Hard,0.0060827829
717F,Heroes of Making Magic III,Heaps binary search trees segment trees hash tables etc,data structures,121,0.739,Hard,0.0028750653
717E,Paint it really really dark gray,Dfs and similar,dfs and similar,789,0.645,Medium,0.0187473269
717D,Dexterina’s Lab,Games Sprague–Grundy theorem|Matrix multiplication determinant Cramer's rule systems of linear equations|Probabilities expected values statistics random variables etc,games|matrices|probabilities,658,0.861,Hard,0.0156346529
717C,Potions Homework,Implementation problems programming technics simulation|Sortings orderings,implementation|sortings,1889,0.275,Easy,0.0448842846
717B,R3D3’s Summer Adventure,Greedy algorithms,greedy,45,0.353,Easy,0.0010692392
717A,Festival Organization,Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,math|number theory,52,0.489,Medium,0.0012355653
716B,Complete the Word,Two pointers,two pointers,4727,0.528,Medium,0.1123176353
716A,Crazy Computer,Implementation problems programming technics simulation,implementation,7550,0,Easy,0.179394573
715E,Complete the Permutations,,,19,0.938,Hard,0.0004514565
715D,Create a Maze,Constructive algorithms,constructive algorithms,61,0.433,Medium,0.0014494131
715C,Digit Tree,Divide and Conquer|Disjoint set union,divide and conquer|dsu,335,0.857,Hard,0.0079598917
715B,Complete The Graph,Binary search|Constructive algorithms|Graphs|Shortest paths on weighted and unweighted graphs,binary search|constructive algorithms|graphs|shortest paths,932,0.732,Hard,0.0221451314
715A,Plus and Square Root,Constructive algorithms|Mathematics including integration differential equations etc,constructive algorithms|math,3640,0.433,Medium,0.086489569
714B,Filya and Homework,Implementation problems programming technics simulation,implementation,4906,0,Easy,0.1165708312
714A,Meeting of Old Friends,Mathematics including integration differential equations etc,math,5560,0.366,Easy,0.1321104405
713E,Sonya Partymaker,,,29,0.938,Hard,0.0006890652
713D,Animals and Puzzle,Binary search|Heaps binary search trees segment trees hash tables etc,binary search|data structures,316,0.739,Hard,0.0075084351
713C,Sonya and Problem Wihtout a Legend,Dynamic programming|Sortings orderings,dp|sortings,834,0.706,Medium,0.0198165661
713B,Searching Rectangles,Binary search|Constructive algorithms,binary search|constructive algorithms,819,0.582,Medium,0.019460153
713A,Sonya and Queries,Heaps binary search trees segment trees hash tables etc,data structures,4103,0.739,Hard,0.0974908521
712E,Memory and Casinos,Heaps binary search trees segment trees hash tables etc|Mathematics including integration differential equations etc|Probabilities expected values statistics random variables etc,data structures|math|probabilities,211,0.802,Hard,0.0050135437
712D,Memory and Scores,Combinatorics|Dynamic programming,combinatorics|dp,754,0.706,Medium,0.0179156964
712C,Memory and De-Evolution,Greedy algorithms|Mathematics including integration differential equations etc,greedy|math,3187,0.366,Easy,0.0757258946
712B,Memory and Trident,Implementation problems programming technics simulation,implementation,4808,0,Easy,0.1142422658
712A,Memory and Crow,Implementation problems programming technics simulation,implementation,5847,0,Easy,0.1389298104
711E,ZS and The Birthday Paradox,Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc|Probabilities expected values statistics random variables etc,math|number theory|probabilities,718,0.802,Hard,0.0170603051
711D,Directed Roads,Combinatorics|Dfs and similar|Graphs|Mathematics including integration differential equations etc,combinatorics|dfs and similar|graphs|math,1977,0.705,Medium,0.0469752412
711C,Coloring Trees,Dynamic programming,dp,3065,0.706,Medium,0.0728270684
711B,Chris and Magic Square,Constructive algorithms,constructive algorithms,5213,0.433,Medium,0.1238654184
711A,Bus to Udayland,Brute force|Implementation problems programming technics simulation,brute force|implementation,8440,0.298,Easy,0.2005417478
710F,String Set Queries,Brute force|Heaps binary search trees segment trees hash tables etc|Hashing hashtables|Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,brute force|data structures|hashing|string suffix structures|strings,180,0.825,Hard,0.0042769567
710E,Generate a String,Dfs and similar|Dynamic programming,dfs and similar|dp,1705,0.706,Medium,0.0405122844
710D,Two Arithmetic Progressions,Mathematics including integration differential equations etc,math,323,0.366,Easy,0.0076747612
710C,Magic Odd Square,Constructive algorithms,constructive algorithms,2512,0.433,Medium,0.0596873069
710B,Optimal Point on a Line,Brute force|Sortings orderings,brute force|sortings,3804,0.298,Easy,0.0903863518
710A,King Moves,Implementation problems programming technics simulation,implementation,5596,0,Easy,0.1329658319
709B,Checkpoints,Implementation problems programming technics simulation|Sortings orderings,implementation|sortings,3044,0.275,Easy,0.0723280901
709A,Juicer,Implementation problems programming technics simulation,implementation,5478,0,Easy,0.1301620491
708E,Student's Camp,Dynamic programming|Mathematics including integration differential equations etc,dp|math,76,0.706,Medium,0.0018058262
708D,Incorrect Flow,Graph network flows,flows,128,0.877,Hard,0.0030413914
708C,Centroids,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Dynamic programming|Greedy algorithms|Trees,data structures|dfs and similar|dp|greedy|trees,751,0.756,Hard,0.0178444138
708B,Recover the String,Constructive algorithms|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,constructive algorithms|implementation|math,1857,0.433,Medium,0.0441239367
708A,Letters Cyclic Shift,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,4961,0.433,Medium,0.117877679
707E,Garlands,Heaps binary search trees segment trees hash tables etc,data structures,466,0.739,Hard,0.0110725657
707D,Persistent Bookcase,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Implementation problems programming technics simulation,data structures|dfs and similar|implementation,1250,0.739,Hard,0.0297010882
707C,Pythagorean Triples,Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,math|number theory,4230,0.489,Medium,0.1005084826
707B,Bakery,Graphs,graphs,5181,0.705,Medium,0.1231050706
707A,Brain's Photos,Implementation problems programming technics simulation,implementation,7951,0,Easy,0.1889226821
706E,Working routine,Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,data structures|implementation,555,0.739,Hard,0.0131872832
706D,Vasiliy's Multiset,Binary search|Heaps binary search trees segment trees hash tables etc|Trees,binary search|data structures|trees,2354,0.756,Hard,0.0559330894
706C,Hard problem,Dynamic programming,dp,3813,0.706,Medium,0.0906001996
706B,Interesting drink,Binary search|Implementation problems programming technics simulation,binary search|implementation,6463,0.582,Medium,0.1535665067
706A,Beru-taxi,Brute force|Geometry computational geometry|Implementation problems programming technics simulation,brute force|geometry|implementation,6921,0.781,Hard,0.1644489854
705B,Spider Man,Games Sprague–Grundy theorem,games,5113,0.663,Medium,0.1214893314
705A,Hulk,Implementation problems programming technics simulation,implementation,8420,0,Easy,0.2000665304
704E,Iron Man,Geometry computational geometry|Trees,geometry|trees,29,0.781,Hard,0.0006890652
704D,Captain America,Graph network flows,flows,80,0.877,Hard,0.0019008696
704C,Black Widow,Dynamic programming|Implementation problems programming technics simulation,dp|implementation,103,0.706,Medium,0.0024473697
704B,Ant Man,Dynamic programming|Graphs|Greedy algorithms,dp|graphs|greedy,476,0.706,Medium,0.0113101744
704A,Thor,Brute force|Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,brute force|data structures|implementation,3641,0.739,Hard,0.0865133298
703E,Mishka and Divisors,Dynamic programming|Number theory: Euler function GCD divisibility etc,dp|number theory,249,0.706,Medium,0.0059164568
703D,Mishka and Interesting sum,Heaps binary search trees segment trees hash tables etc,data structures,1312,0.739,Hard,0.0311742622
703C,Chris and Road,Geometry computational geometry|Implementation problems programming technics simulation,geometry|implementation,1062,0.781,Hard,0.0252340446
703B,Mishka and trip,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,4164,0.366,Easy,0.0989402652
703A,Mishka and Game,Implementation problems programming technics simulation,implementation,7896,0,Easy,0.1876158342
702F,T-Shirts,Heaps binary search trees segment trees hash tables etc,data structures,85,0.739,Hard,0.002019674
702E,Analysis of Pathes in Functional Graph,Heaps binary search trees segment trees hash tables etc|Graphs,data structures|graphs,716,0.739,Hard,0.0170127833
702D,Road to Post Office,Mathematics including integration differential equations etc,math,1610,0.366,Easy,0.0382550017
702C,Cellular Network,Binary search|Two pointers,binary search|two pointers,2580,0.582,Medium,0.0613030461
702B,Powers of Two,Brute force|Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,brute force|data structures|implementation,3176,0.739,Hard,0.075464525
702A,Maximum Increase,Dynamic programming|Greedy algorithms|Implementation problems programming technics simulation,dp|greedy|implementation,5481,0.706,Medium,0.1302333317
701C,They Are Everywhere,Binary search|Two pointers,binary search|two pointers,3917,0.582,Medium,0.0930713301
701B,Cells Not Under Attack,Mathematics including integration differential equations etc,math,5577,0.366,Easy,0.1325143753
701A,Cards,Greedy algorithms,greedy,7382,0.353,Easy,0.1754027468
700E,Cool Slogans,Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,string suffix structures|strings,48,0.825,Hard,0.0011405218
700D,Huffman Coding on Segment,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,112,0.739,Hard,0.0026612175
700C,Break Up,Dfs and similar,dfs and similar,397,0.645,Medium,0.0094330656
700B,Connecting Universities,Dfs and similar|Dynamic programming|Graphs|Trees,dfs and similar|dp|graphs|trees,1401,0.756,Hard,0.0332889797
700A,As Fast As Possible,Binary search|Mathematics including integration differential equations etc,binary search|math,1882,0.582,Medium,0.0447179585
699B,One Bomb,Implementation problems programming technics simulation,implementation,4350,0,Easy,0.1033597871
699A,Launch of Collider,Implementation problems programming technics simulation,implementation,5648,0,Easy,0.1342013971
698F,Coprime Permutation,Combinatorics|Number theory: Euler function GCD divisibility etc,combinatorics|number theory,45,0.687,Medium,0.0010692392
698E,Cron,,,64,0.938,Hard,0.0015206957
698D,Limak and Shooting Points,Brute force|Geometry computational geometry,brute force|geometry,142,0.781,Hard,0.0033740436
698C,LRU,Bitmasks|Dynamic programming|Probabilities expected values statistics random variables etc,bitmasks|dp|probabilities,585,0.802,Hard,0.0139001093
698B,Fix a Tree,Constructive algorithms|Dfs and similar|Disjoint set union|Trees,constructive algorithms|dfs and similar|dsu|trees,2555,0.756,Hard,0.0607090244
698A,Vacations,Dynamic programming,dp,5181,0.706,Medium,0.1231050706
697B,Barnicle,Implementation problems programming technics simulation,implementation,3675,0,Easy,0.0873211994
697A,Pineapple Incident,Mathematics including integration differential equations etc,math,6037,0.366,Easy,0.1434443758
696F,...Dary!,Binary search|Geometry computational geometry|Two pointers,binary search|geometry|two pointers,11,0.781,Hard,0.0002613696
696E,...Wait for it...,Heaps binary search trees segment trees hash tables etc|Disjoint set union|Trees,data structures|dsu|trees,126,0.756,Hard,0.0029938697
696D,Legen...,Heaps binary search trees segment trees hash tables etc|Dynamic programming|Matrix multiplication determinant Cramer's rule systems of linear equations|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|dp|matrices|strings,345,0.861,Hard,0.0081975004
696C,PLEASE,Combinatorics|Dynamic programming|Implementation problems programming technics simulation|Mathematics including integration differential equations etc|Matrix multiplication determinant Cramer's rule systems of linear equations,combinatorics|dp|implementation|math|matrices,1023,0.861,Hard,0.0243073706
696B,Puzzles,Dfs and similar|Mathematics including integration differential equations etc|Probabilities expected values statistics random variables etc|Trees,dfs and similar|math|probabilities|trees,1738,0.802,Hard,0.0412963931
696A,Lorenzo Von Matterhorn,Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation|Trees,data structures|implementation|trees,3316,0.756,Hard,0.0787910469
691F,Couple Cover,Brute force|Dynamic programming|Number theory: Euler function GCD divisibility etc,brute force|dp|number theory,418,0.706,Medium,0.0099320439
691E,Xor-sequences,Matrix multiplication determinant Cramer's rule systems of linear equations,matrices,618,0.861,Hard,0.014684218
691D,Swaps in Permutation,Dfs and similar|Disjoint set union,dfs and similar|dsu,1280,0.686,Medium,0.0304139144
691C,Exponential notation,Implementation problems programming technics simulation,implementation,1028,0,Easy,0.024426175
691B,s-palindrome,Implementation problems programming technics simulation,implementation,2194,0,Easy,0.0521313501
691A,Fashion in Berland,Implementation problems programming technics simulation,implementation,4018,0,Easy,0.0954711781
690F3,Tree of Life (hard),Trees,trees,11,0.756,Hard,0.0002613696
690F2,Tree of Life (medium),Constructive algorithms|Hashing hashtables|Trees,constructive algorithms|hashing|trees,29,0.756,Hard,0.0006890652
690F1,Tree of Life (easy),,,1156,0.938,Hard,0.0274675664
690E2,Photographs (II),,,78,0.938,Hard,0.0018533479
690E1,Photographs (I),,,485,0.938,Hard,0.0115240222
690D3,The Wall (hard),,,292,0.938,Hard,0.0069381742
690D2,The Wall (medium),Combinatorics,combinatorics,660,0.687,Medium,0.0156821746
690D1,The Wall (easy),,,1286,0.938,Hard,0.0305564796
690C3,Brain Network (hard),Trees,trees,397,0.756,Hard,0.0094330656
690C2,Brain Network (medium),Dfs and similar|Graphs|Trees,dfs and similar|graphs|trees,1019,0.756,Hard,0.0242123271
690C1,Brain Network (easy),,,1213,0.938,Hard,0.028821936
690B3,Recover Polygon (hard),,,50,0.938,Hard,0.0011880435
690B2,Recover Polygon (medium),Geometry computational geometry,geometry,100,0.781,Hard,0.0023760871
690B1,Recover Polygon (easy),,,626,0.938,Hard,0.014874305
690A3,Collective Mindsets (hard),,,158,0.938,Hard,0.0037542176
690A2,Collective Mindsets (medium),,,265,0.938,Hard,0.0062966307
690A1,Collective Mindsets (easy),,,1549,0.938,Hard,0.0368055886
689E,Mike and Geometry Problem,Combinatorics|Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,combinatorics|data structures|implementation,701,0.739,Hard,0.0166563703
689D,Friends and Subsequences,Binary search|Heaps binary search trees segment trees hash tables etc,binary search|data structures,1110,0.739,Hard,0.0263745664
689C,Mike and Chocolate Thieves,Binary search|Mathematics including integration differential equations etc,binary search|math,2178,0.582,Medium,0.0517511762
689B,Mike and Shortcuts,Dfs and similar,dfs and similar,2712,0.645,Medium,0.0644394811
689A,Mike and Cellphone,Brute force|Constructive algorithms|Implementation problems programming technics simulation,brute force|constructive algorithms|implementation,3469,0.433,Medium,0.0824264601
688B,Lovely Palindromes,Constructive algorithms|Mathematics including integration differential equations etc,constructive algorithms|math,6791,0.433,Medium,0.1613600722
688A,Opponents,Implementation problems programming technics simulation,implementation,6845,0,Easy,0.1626431592
687E,TOF,,,125,0.938,Hard,0.0029701088
687D,Dividing Kingdom II,Brute force|Heaps binary search trees segment trees hash tables etc|Disjoint set union|Sortings orderings,brute force|data structures|dsu|sortings,379,0.739,Hard,0.00900537
687C,The Values You Can Make,Dynamic programming,dp,1940,0.706,Medium,0.046096089
687B,Remainders Game,Сhinese remainder theorem|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,chinese remainder theorem|math|number theory,2111,0.663,Medium,0.0501591978
687A,NP-Hard Problem,Dfs and similar|Graphs,dfs and similar|graphs,4261,0.705,Medium,0.1012450696
686B,Little Robber Girl's Zoo,Constructive algorithms|Implementation problems programming technics simulation|Sortings orderings,constructive algorithms|implementation|sortings,4759,0.433,Medium,0.1130779832
686A,Free Ice Cream,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,6820,0.433,Medium,0.1620491375
685E,Travelling Through the Snow Queen's Kingdom,Brute force|Graphs,brute force|graphs,162,0.705,Medium,0.003849261
685D,Kay and Eternity,Brute force,brute force,233,0.298,Easy,0.0055362828
685C,Optimal Point,Binary search|Mathematics including integration differential equations etc,binary search|math,158,0.582,Medium,0.0037542176
685B,Kay and Snowflake,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Trees,data structures|dfs and similar|trees,1455,0.756,Hard,0.0345720667
685A,Robbers' watch,Brute force|Dynamic programming|Mathematics including integration differential equations etc,brute force|dp|math,2759,0.706,Medium,0.065556242
683J,The Hero with Bombs,,,10,0.938,Hard,0.0002376087
683I,Loader,,,17,0.938,Hard,0.0004039348
683H,Exchange of Books,,,66,0.938,Hard,0.0015682175
683G,The Fraction,,,101,0.938,Hard,0.0023998479
683F,Reformat the String,,,112,0.938,Hard,0.0026612175
683E,Hammer throwing,,,153,0.938,Hard,0.0036354132
683D,Chocolate Bar,,,229,0.938,Hard,0.0054412394
683C,Symmetric Difference,,,255,0.938,Hard,0.006059022
683B,The Teacher of Physical Education,,,269,0.938,Hard,0.0063916742
683A,The Check of the Point,,,498,0.938,Hard,0.0118329136
682E,Alyona and Triangles,Geometry computational geometry|Two pointers,geometry|two pointers,274,0.781,Hard,0.0065104785
682D,Alyona and Strings,Dynamic programming|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,dp|strings,1495,0.706,Medium,0.0355225015
682C,Alyona and the Tree,Dfs and similar|Dynamic programming|Trees,dfs and similar|dp|trees,2601,0.756,Hard,0.0618020244
682B,Alyona and Mex,Sortings orderings,sortings,4858,0.275,Easy,0.1154303094
682A,Alyona and Numbers,Constructive algorithms|Number theory: Euler function GCD divisibility etc,constructive algorithms|number theory,5559,0.489,Medium,0.1320866797
681E,Runaway to a Shadow,Geometry computational geometry,geometry,253,0.781,Hard,0.0060115003
681D,Gifts by the List,Dfs and similar|Trees,dfs and similar|trees,1042,0.756,Hard,0.0247588272
681C,Heap Operations,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,2848,0.739,Hard,0.0676709595
681B,Economy Game,Brute force,brute force,4763,0.298,Easy,0.1131730267
681A,A Good Contest,Implementation problems programming technics simulation,implementation,6305,0,Easy,0.1498122891
680B,Bear and Finding Criminals,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,5560,0.433,Medium,0.1321104405
680A,Bear and Five Cards,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,6201,0.433,Medium,0.1473411586
679E,Bear and Bad Powers of 42,Heaps binary search trees segment trees hash tables etc,data structures,63,0.739,Hard,0.0014969348
679D,Bear and Chase,Brute force|Dfs and similar|Implementation problems programming technics simulation,brute force|dfs and similar|implementation,140,0.645,Medium,0.0033265219
679C,Bear and Square Grid,Dfs and similar|Disjoint set union|Implementation problems programming technics simulation,dfs and similar|dsu|implementation,689,0.686,Medium,0.0163712398
679B,Bear and Tower of Cubes,Dynamic programming|Greedy algorithms,dp|greedy,1270,0.706,Medium,0.0301763057
679A,Bear and Prime 100,Constructive algorithms,constructive algorithms,4415,0.433,Medium,0.1049042437
