ID,Accepted,Total,Ratio
676E,782,4294,0.18211457848160223
676D,1391,5431,0.2561222610937212
676C,4238,11559,0.3666407128644346
676B,3911,9951,0.3930258265500955
676A,7010,11897,0.5892241741615534
675E,965,2798,0.3448892065761258
675D,2363,8341,0.28329936458458216
675C,2269,6483,0.3499922875212093
675B,4859,12534,0.38766554970480294
675A,7260,26127,0.2778734642324033
673B,2692,8746,0.3077978504459181
673A,4812,13395,0.3592385218365062
672B,6056,11610,0.521619293712317
672A,6823,10357,0.6587815004344888
671E,38,487,0.07802874743326489
671D,248,879,0.2821387940841866
671C,378,1186,0.31871838111298484
671B,1921,10207,0.18820417360634858
671A,3058,14143,0.2162200381814325
670F,619,5654,0.10948001414927484
670E,1929,6067,0.3179495632108126
670D2,3205,8178,0.3919051112741502
670D1,3707,6913,0.5362360769564588
670C,4085,12327,0.33138638760444555
670B,5560,13444,0.4135673906575424
670A,6640,14971,0.44352414668358825
669A,4872,7670,0.6352020860495436
667B,3527,4692,0.7517050298380221
667A,4037,8401,0.48053803118676347
666E,84,621,0.13526570048309178
666D,84,391,0.21483375959079284
666C,374,1489,0.2511752854264607
666B,1225,5281,0.2319636432493846
666A,2205,10826,0.2036763347496767
665F,147,1572,0.09351145038167939
665E,692,2109,0.328117591275486
665D,1100,4740,0.2320675105485232
665C,2585,6601,0.3916073322223905
665B,1717,2612,0.6573506891271057
665A,1357,4476,0.30317247542448617
664A,5070,8153,0.6218569851588372
663A,2034,10491,0.19388046897340577
662E,62,219,0.2831050228310502
662D,1180,4336,0.272140221402214
662C,379,917,0.4133042529989095
662B,774,2190,0.35342465753424657
662A,99,259,0.38223938223938225
661H,28,139,0.2014388489208633
661G,22,61,0.36065573770491804
661F,31,110,0.2818181818181818
661E,33,68,0.4852941176470588
661D,41,66,0.6212121212121212
661C,52,254,0.2047244094488189
661B,61,197,0.3096446700507614
661A,130,1093,0.11893870082342177
660F,277,1029,0.2691933916423712
660E,295,453,0.6512141280353201
660D,1487,4279,0.34751110072446834
660C,2367,7509,0.31522173391929686
660B,2917,4881,0.5976234378201188
660A,3277,8798,0.3724710161400318
659G,554,1335,0.4149812734082397
659F,1153,6577,0.1753078911357762
659E,3001,6000,0.5001666666666666
659D,3634,4872,0.7458949096880131
659C,5587,12148,0.4599110964767863
659B,4298,12331,0.34855242883788823
659A,7810,18559,0.42082008728918585
658A,3394,4307,0.7880195031344324
656G,339,7574,0.04475838394507526
656F,304,1426,0.2131837307152875
656E,499,1658,0.30096501809408926
656D,291,991,0.29364278506559033
656C,396,486,0.8148148148148148
656B,1203,2927,0.41100102494021185
656A,1757,17459,0.10063577524485938
653G,124,289,0.4290657439446367
653F,312,1006,0.3101391650099404
653E,563,2371,0.23745255166596374
653D,1027,4499,0.22827294954434318
653C,1251,4347,0.28778467908902694
653B,2784,3849,0.7233047544816835
653A,4465,9865,0.45261023821591484
652F,86,319,0.26959247648902823
652E,426,1444,0.2950138504155125
652D,1252,3103,0.40348050273928454
652C,1298,3220,0.4031055900621118
652B,3184,4354,0.7312815801561783
652A,2298,7880,0.2916243654822335
651B,6019,13381,0.4498169045661759
651A,7635,19628,0.3889851232932545
650E,214,838,0.2553699284009546
650D,513,1775,0.28901408450704225
650C,1340,5872,0.2282016348773842
650B,2246,9620,0.23347193347193348
650A,5692,15511,0.36696537940816193
645G,54,203,0.2660098522167488
645F,298,795,0.37484276729559746
645E,742,1727,0.42964678633468445
645D,1410,3518,0.4007959067652075
645C,1875,5430,0.3453038674033149
645B,2179,4075,0.5347239263803681
645A,2244,4096,0.5478515625
644C,834,3403,0.24507787246547164
644B,1832,5565,0.32920035938903863
644A,3421,6105,0.5603603603603604
643G,48,703,0.06827880512091039
643F,89,135,0.6592592592592592
643E,213,497,0.42857142857142855
643D,92,460,0.2
643C,577,2128,0.27114661654135336
643B,2067,4594,0.44993469743143233
643A,2839,5714,0.4968498424921246
641G,34,82,0.4146341463414634
641F,67,360,0.18611111111111112
641E,1182,2870,0.4118466898954704
641D,593,3154,0.1880152187698161
641C,1946,8130,0.23936039360393604
641B,2793,6294,0.4437559580552908
641A,3801,8682,0.43780234968901177
639F,65,311,0.2090032154340836
639E,143,347,0.41210374639769454
639D,464,1711,0.2711864406779661
639C,932,5559,0.16765605324698687
639B,3030,12357,0.24520514688031075
639A,3756,7362,0.5101874490627547
638D,348,721,0.4826629680998613
638C,477,1995,0.23909774436090225
638B,867,3155,0.27480190174326463
638A,1886,2466,0.764801297648013
637D,1090,3742,0.2912880812399786
637C,1380,3277,0.4211168751907232
637B,2501,5212,0.4798541826554106
637A,2511,4043,0.6210734603017561
635A,1954,2517,0.77632101708383
634A,2044,4229,0.4833293922913218
633H,208,1068,0.1947565543071161
633G,304,1274,0.23861852433281006
633F,321,1279,0.2509773260359656
633E,470,2471,0.19020639417239985
633D,1508,9656,0.15617232808616405
633C,1469,7252,0.20256480970766685
633B,3657,8196,0.44619326500732065
633A,4885,11027,0.44300353677337445
632F,257,915,0.28087431693989073
632E,582,2120,0.27452830188679245
632D,940,3142,0.2991725015913431
632C,1957,5636,0.3472320794889993
632B,1947,3854,0.5051894135962636
632A,2290,4131,0.5543451948680707
631E,504,2640,0.19090909090909092
631D,1090,6496,0.16779556650246305
631C,2475,10742,0.2304040215974679
631B,4412,10861,0.4062241045944204
631A,5525,7807,0.7076982195465608
630R,3535,5099,0.6932731908217298
630Q,609,892,0.6827354260089686
630P,426,787,0.5412960609911055
630O,374,790,0.47341772151898737
630N,2529,6403,0.3949711072934562
630M,597,1394,0.4282639885222382
630L,1675,4027,0.4159423888750931
630K,1824,3878,0.4703455389375967
630J,3757,6460,0.5815789473684211
630I,893,2018,0.4425173439048563
630H,1691,4445,0.3804274465691789
630G,1128,1873,0.602242391884677
630F,2577,6474,0.3980537534754402
630E,1102,3614,0.30492529053680134
630D,3804,7161,0.5312107247591119
630C,4884,9280,0.5262931034482758
630B,3468,5489,0.6318090726908362
630A,11316,14741,0.7676548402415033
629E,493,1496,0.32954545454545453
629D,2163,10859,0.19918961230315868
629C,1717,7355,0.23344663494221618
629B,5040,9609,0.5245082734935997
629A,6100,8513,0.7165511570539176
628F,209,714,0.2927170868347339
628E,347,1307,0.2654934965570008
628D,801,2714,0.2951363301400147
628C,2557,5474,0.4671172816952868
628B,3056,5409,0.5649842854501756
628A,3261,4708,0.6926508071367884
627F,24,206,0.11650485436893204
627E,104,341,0.30498533724340177
627D,318,1664,0.19110576923076922
627C,742,2706,0.27420546932742057
627B,1388,2223,0.6243814664867297
627A,1749,5976,0.29267068273092367
626G,134,495,0.27070707070707073
626F,663,1673,0.3962940824865511
626E,734,4471,0.1641690896891076
626D,1756,4930,0.35618661257606493
626C,2959,8931,0.33131788153622216
626B,3649,7985,0.4569818409517846
626A,4474,5737,0.7798500958689211
625E,106,545,0.1944954128440367
625D,461,4122,0.11183891314895682
625C,4187,5429,0.7712285872167987
625B,5014,13191,0.3801076491547267
625A,3821,25592,0.14930447014692091
624B,5010,14067,0.3561526978033696
624A,5863,8175,0.7171865443425076
623E,149,379,0.39313984168865435
623D,266,569,0.46748681898066785
623C,319,2854,0.1117729502452698
623B,1129,4493,0.2512797685288226
623A,2872,11452,0.2507858889276982
622F,285,928,0.30711206896551724
622E,735,1855,0.39622641509433965
622D,1203,2596,0.46340523882896767
622C,2629,11219,0.23433461092789018
622B,4411,7118,0.6196965439730261
622A,4753,8422,0.5643552600332462
621E,1320,3437,0.38405586267093395
621D,825,5056,0.1631724683544304
621C,2883,6965,0.4139267767408471
621B,5581,14722,0.379092514603994
621A,8423,16574,0.5082056232653553
620F,299,1127,0.2653061224489796
620E,1128,4225,0.26698224852071006
620D,716,4438,0.16133393420459666
620C,3015,9360,0.32211538461538464
620B,4895,7009,0.6983877871308318
620A,6042,9315,0.6486312399355878
618G,37,94,0.39361702127659576
618F,260,778,0.3341902313624679
618E,390,1248,0.3125
618D,1058,5550,0.19063063063063063
618C,3058,12421,0.2461959584574511
618B,4519,5764,0.7840041637751561
618A,5652,7558,0.7478168827732204
617E,1746,6330,0.27582938388625594
617D,2879,11457,0.2512874225364406
617C,3443,13011,0.2646222427177004
617B,6108,18031,0.3387499306749487
617A,11899,15798,0.753196607165464
616F,223,2308,0.09662045060658579
616E,681,3395,0.20058910162002946
616D,2216,6069,0.36513428900972156
616C,2150,8462,0.25407705034270855
616B,4177,6111,0.683521518573065
616A,4392,15685,0.2800127510360217
615E,737,2033,0.36251844564682734
615D,1906,13293,0.1433837358007974
615C,1592,5654,0.2815705695083127
615B,3057,11263,0.2714196927994318
615A,7752,11242,0.6895570183241416
614B,3928,16729,0.23480184111423277
614A,4934,30775,0.16032493907392364
613E,83,327,0.25382262996941896
613D,396,1639,0.24161073825503357
613C,573,2039,0.28102010789602744
613B,1382,7723,0.17894600543830116
613A,2337,13398,0.17442901925660545
612F,87,261,0.3333333333333333
612E,448,1143,0.39195100612423445
612D,1522,5723,0.26594443473702606
612C,2656,6464,0.41089108910891087
612B,3526,7457,0.47284430736221
612A,3395,9901,0.3428946571053429
611H,123,537,0.22905027932960895
611G,123,500,0.246
611F,310,1066,0.29080675422138835
611E,656,4352,0.15073529411764705
611D,1899,7018,0.27058991165574237
611C,4473,7028,0.6364541832669323
611B,5370,10742,0.49990690746602123
611A,7765,16987,0.4571142638488256
610E,325,1163,0.2794496990541703
610D,802,3954,0.2028325746079919
610C,2233,4252,0.5251646284101599
610B,4330,15690,0.27597195666029317
610A,6997,13606,0.5142584154049684
609F,307,1454,0.2111416781292985
609E,1088,3722,0.292315959161741
609D,920,3342,0.27528426092160385
609C,2752,10277,0.26778242677824265
609B,4241,8257,0.5136248031972872
609A,5478,7345,0.7458134785568414
608B,3425,11445,0.2992573176059415
608A,5567,11397,0.48846187593226287
607E,97,646,0.15015479876160992
607D,312,884,0.35294117647058826
607C,534,1899,0.2812006319115324
607B,2518,5077,0.4959621823911759
607A,3776,10721,0.3522059509374126
606B,2414,5979,0.4037464458939622
606A,5783,14293,0.4046036521374099
605E,245,563,0.4351687388987567
605D,447,1709,0.26155646576945585
605C,660,3097,0.21310946076848564
605B,2011,7663,0.2624298577580582
605A,4512,13981,0.3227236964451756
604B,4592,14515,0.31636238374095765
604A,6041,11804,0.511775669264656
603E,194,562,0.34519572953736655
603D,259,1327,0.19517709118311982
603C,1060,3228,0.32837670384138784
603B,1624,5270,0.3081593927893738
603A,3986,10575,0.37692671394799054
602B,4324,13487,0.3206050270630978
602A,5723,13484,0.42442895283298726
601E,269,566,0.4752650176678445
601D,640,2023,0.31636183885318836
601C,797,1883,0.4232607541157727
601B,1322,2657,0.4975536319156944
601A,4219,8016,0.5263223552894212
600F,118,686,0.17201166180758018
600E,966,3290,0.2936170212765957
600D,714,6447,0.11074918566775244
600C,1939,5242,0.36989698588325065
600B,4118,11834,0.3479803954706777
600A,2212,7538,0.2934465375431149
599E,308,884,0.34841628959276016
599D,1961,7310,0.2682626538987688
599C,3177,8950,0.35497206703910616
599B,3521,14027,0.2510158979111713
599A,9023,19360,0.4660640495867769
598F,121,1349,0.08969607116382505
598E,1371,3292,0.4164641555285541
598D,2753,9306,0.2958306468944767
598C,1258,12004,0.10479840053315562
598B,3977,8506,0.4675523160122267
598A,7491,14844,0.5046483427647535
597C,874,2370,0.3687763713080169
597B,1730,3766,0.4593733404142326
597A,2364,16847,0.1403217190004155
596E,227,1171,0.19385140905209222
596D,553,1463,0.37799043062200954
596C,1999,7530,0.2654714475431607
596B,5537,12170,0.4549712407559573
596A,5155,12276,0.4199250570218312
595B,2468,10576,0.23335854765506808
595A,6702,9361,0.7159491507317595
594E,30,188,0.1595744680851064
594D,452,2071,0.21825205214872043
594C,493,1724,0.28596287703016243
594B,391,1796,0.21770601336302894
594A,978,3390,0.2884955752212389
593E,274,560,0.48928571428571427
593D,805,5892,0.13662593346911067
593C,143,899,0.15906562847608455
593B,2931,10468,0.2799961788307222
593A,4237,8380,0.5056085918854415
592E,155,1378,0.11248185776487664
592D,1288,4822,0.2671090833678971
592C,2408,15589,0.15446789402784014
592B,5619,8931,0.6291568693315418
592A,4786,13255,0.3610712938513768
591B,5330,12094,0.4407144038366132
591A,7088,9553,0.7419658745943682
590E,184,1061,0.17342130065975495
590D,664,1327,0.5003767897513187
590C,1336,4655,0.2870032223415682
590B,1298,2895,0.4483592400690846
590A,2985,11303,0.26408917986375297
589M,48,257,0.1867704280155642
589L,28,90,0.3111111111111111
589K,156,1154,0.13518197573656845
589J,2042,5526,0.36952587766920014
589I,3159,4646,0.6799397331037451
589H,342,924,0.37012987012987014
589G,748,2450,0.3053061224489796
589F,1056,3125,0.33792
589E,25,259,0.09652509652509653
589D,1060,3965,0.2673392181588903
589C,165,1825,0.09041095890410959
589B,1295,4069,0.31826001474563775
589A,1707,5965,0.28616932103939646
588B,6091,19666,0.30972236346994814
588A,9135,14814,0.6166464155528554
587F,138,553,0.24954792043399637
587E,181,677,0.2673559822747415
587D,115,604,0.19039735099337748
587C,1475,6050,0.24380165289256198
587B,1029,4677,0.22001282873636946
587A,5738,18693,0.3069598245332477
586B,4258,5774,0.7374437131970905
586A,6228,11246,0.5537969055664236
585F,87,236,0.3686440677966102
585E,267,748,0.356951871657754
585D,765,2562,0.29859484777517564
585C,657,1438,0.456884561891516
585B,2508,7286,0.3442217952237167
585A,3125,17750,0.176056338028169
584E,967,3959,0.2442535993937863
584D,3663,8623,0.4247941551664154
584C,3417,13667,0.2500182922367747
584B,5096,11427,0.4459613196814562
584A,9778,25828,0.37858138454390583
583B,6132,8540,0.7180327868852459
583A,7917,14417,0.5491433724075744
582E,107,222,0.481981981981982
582D,79,226,0.3495575221238938
582C,504,1757,0.2868525896414343
582B,2227,9834,0.2264592231035184
582A,4210,13433,0.3134072805776818
581F,436,1184,0.36824324324324326
581E,112,453,0.24724061810154527
581D,2336,6835,0.3417702999268471
581C,4827,19240,0.2508835758835759
581B,6537,15539,0.42068344166291266
581A,9751,12184,0.800311884438608
580E,1144,5148,0.2222222222222222
580D,3036,8781,0.34574649812094294
580C,6084,17848,0.3408785298072613
580B,6339,27063,0.23423123822192662
580A,13571,27333,0.49650605495188965
579B,4160,8506,0.48906654126498944
579A,9102,16595,0.5484784573666767
578F,41,99,0.41414141414141414
578E,175,1094,0.15996343692870202
578D,293,545,0.5376146788990825
578C,2180,8693,0.2507764868284827
578B,3326,12168,0.27333990795529256
578A,3654,11550,0.31636363636363635
577B,3685,17438,0.2113201055166877
577A,8853,22601,0.3917083314897571
576E,146,865,0.16878612716763006
576D,343,1040,0.3298076923076923
576C,1577,7287,0.2164127898998216
576B,1134,3459,0.32784041630529054
576A,5444,11974,0.4546517454484717
575I,72,296,0.24324324324324326
575H,767,2243,0.34195274186357555
575G,311,3209,0.0969149267684637
575F,562,2110,0.2663507109004739
575E,40,113,0.35398230088495575
575D,1158,4028,0.2874875868917577
575C,141,1556,0.09061696658097686
575B,432,1757,0.2458736482640865
575A,129,1000,0.129
574B,3820,8346,0.4577042894799904
574A,5827,12881,0.4523717102709417
573E,107,760,0.14078947368421052
573D,139,642,0.21651090342679127
573C,722,4869,0.14828506880262887
573B,3396,8053,0.4217061964485285
573A,7324,16575,0.44187028657616895
572B,3659,15539,0.23547203809768968
572A,7385,16361,0.45137827761139293
571E,47,313,0.1501597444089457
571D,113,491,0.23014256619144602
571C,424,2001,0.21189405297351324
571B,1504,4714,0.31904963937208314
571A,1381,3501,0.3944587260782634
570E,999,3921,0.25478194338179033
570D,1753,8844,0.19821347806422435
570C,5450,14226,0.3831013637002671
570B,6998,18454,0.37921317871464183
570A,8362,21288,0.39280345734686206
569B,4788,12134,0.394593703642657
569A,3686,9208,0.40030408340573415
568E,71,435,0.1632183908045977
568D,262,1555,0.1684887459807074
568C,413,2296,0.1798780487804878
568B,1540,3706,0.4155423637344846
568A,3336,8162,0.40872335211957855
567F,300,735,0.40816326530612246
567E,930,5505,0.16893732970027248
567D,2557,7747,0.330063250290435
567C,4181,14689,0.28463476070528965
567B,5862,12977,0.4517222778762426
567A,8669,15564,0.5569904908763814
566G,177,1616,0.10952970297029703
566F,1522,4417,0.3445777677156441
566E,43,247,0.17408906882591094
566D,1047,3974,0.2634625062908908
566C,93,429,0.21678321678321677
566B,151,508,0.297244094488189
566A,392,1395,0.2810035842293907
560B,5325,12215,0.4359394187474417
560A,8263,12724,0.649402703552342
559E,175,591,0.2961082910321489
559D,246,929,0.26480086114101187
559C,2065,5837,0.35377762549254754
559B,5426,19744,0.27481766612641817
